number;meta_object|Район;name;ОЛ|ОД|Объект|Наименование;П|ОД|Наименование|i;П|ОД|Наименование|ii;П|ОД|Наименование|iii;ОЛ|ОД|Объект|Полное наименование;П|ОД|Полное наименование|i;П|ОД|Полное наименование|ii;П|ОД|Полное наименование|iii;address;ОЛ|ОД|Объект|Адрес;meta_object|Учащихся;ОЛ|ОД|Объект|Учащихся;ОЛ|ОД|Объект|Классов;ОЛ|ОД|Объект|Этажей;П|ОД|Подписант|Должность;П|ОД|Подписант|ФИО;П|ВКС|Отсутствует;П|ВКС|Производитель;П|ВКС|Модель;П|ЛВС|Список;ОЛ|Интернет|Провайдер|0|Наименование;ОЛ|Интернет|Провайдер|0|Тип;ОЛ|Интернет|Провайдер|0|Скорость;ОЛ|Интернет|Провайдер|1|Наименование;ОЛ|Интернет|Провайдер|1|Тип;ОЛ|Интернет|Провайдер|1|Скорость;ОЛ|ОД|Объект|Планы|0|Скан;ОЛ|ОД|Объект|Планы|0|Этаж;ОЛ|ОД|Объект|Планы|1|Скан;ОЛ|ОД|Объект|Планы|1|Этаж;ОЛ|ОД|Объект|Планы|2|Скан;ОЛ|ОД|Объект|Планы|2|Этаж;ОЛ|ОД|Объект|Планы|3|Скан;ОЛ|ОД|Объект|Планы|3|Этаж;ОЛ|ОД|Объект|Планы|4|Скан;ОЛ|ОД|Объект|Планы|4|Этаж;ОЛ|ОД|Объект|Планы|5|Скан;ОЛ|ОД|Объект|Планы|5|Этаж;ОЛ|ОД|Объект|Планы|6|Скан;ОЛ|ОД|Объект|Планы|6|Этаж;ОЛ|ОД|Объект|Планы|7|Скан;ОЛ|ОД|Объект|Планы|7|Этаж;ОЛ|ОД|Объект|Планы|8|Скан;ОЛ|ОД|Объект|Планы|8|Этаж;ОЛ|ОД|Объект|Планы|9|Скан;ОЛ|ОД|Объект|Планы|9|Этаж;ОЛ|ОД|Объект|Планы|10|Скан;ОЛ|ОД|Объект|Планы|10|Этаж;ОЛ|ОД|Объект|Планы|11|Скан;ОЛ|ОД|Объект|Планы|11|Этаж;ОЛ|ОД|Объект|Планы|12|Скан;ОЛ|ОД|Объект|Планы|12|Этаж;ОЛ|ОД|Объект|Планы|13|Скан;ОЛ|ОД|Объект|Планы|13|Этаж;ОЛ|ОД|Объект|Планы|14|Скан;ОЛ|ОД|Объект|Планы|14|Этаж;ОЛ|ОД|Объект|Планы|15|Скан;ОЛ|ОД|Объект|Планы|15|Этаж
388;Россошанский;МКОУ Началовская СОШ;МКОУ Началовская СОШ;МКОУ Началовская СОШ;МКОУ Началовской СОШ;МКОУ Началовской СОШ;Муниципальное казенное общеобразовательное учреждение Началовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Началовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Началовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Началовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;396616, Воронежская обл., Россошанский район, п. Начало, ул. Рябцева, д. 1;396616, Воронежская обл., Россошанский район, п. Начало, ул. Рябцева, д. 1;180;187;25;2;Директор;Олейник А. В.;1;;;\item Коммутатор D-Link DES -1210-10/ME -- 1~шт. ;ПАО "Ростелеком";выделенная линия ВОЛС;20;-;-;-;1_34112_5b9f491d99465;2;1_34113_5b9f493089ce5;1;1_34089_5b9f490bc9a0a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
14;Аннинский ;МКОУ Березовская СОШ;МКОУ "Березовская СОШ им. Героя Советского Союза Г.А. Рубцова";МКОУ "Березовская СОШ им. Героя Советского Союза Г.А. Рубцова";МКОУ "Березовской СОШ им. Героя Советского Союза Г.А. Рубцова";МКОУ "Березовской СОШ им. Героя Советского Союза Г.А. Рубцова";Муниципальное казенное общеобразовательное учреждение  "Березовская средняя общеобразовательная школа имени  Героя Советского Союза Г.А. Рубцова";Муниципальное казенное общеобразовательное учреждение "Березовская средняя общеобразовательная школа имени Героя Советского Союза Г.А. Рубцова";Муниципального казённого общеобразовательного учреждения "Березовская средняя общеобразовательная школа имени Героя Советского Союза Г.А. Рубцова";Муниципальному казённому общеобразовательному учреждению "Березовская средняя общеобразовательная школа имени Героя Советского Союза Г.А. Рубцова";396247, Воронежская область, Аннинский район, село Березовка, ул. Маслозаводская, 8-а;396247, Воронежская область, Аннинский район, село Березовка, ул. Маслозаводская, 8-а;70;51;11;2;Директор;Полякова А. Е.;1;;;\item Коммутатор D-Link DIR-300 -- 1~шт. ;Квант-Телеком;Радиоканал;0.7;-;-;-;1_76908_5bed00d8621cb;2;1_50335_5baa0fbe4d04f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
265;Ольховатский;МКОУ Караяшниковская СОШ;МКОУ Караяшниковская СОШ;МКОУ Караяшниковская СОШ;МКОУ Караяшниковской СОШ;МКОУ Караяшниковской СОШ;Муниципальное казенное общеобразовательное учреждение Караяшниковская средняя обшеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Караяшниковская средняя обшеобразовательная школа;Муниципального казённого общеобразовательного учреждения Караяшниковская средняя обшеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Караяшниковская средняя обшеобразовательная школа;396673, Воронежская обл., Ольховатский район, сл. Караяшник, ул. Школьная, д. 18;396673, Воронежская обл., Ольховатский район, сл. Караяшник, ул. Школьная, д. 18;82;82;14;3;Директор;Яковенко А. В.;1;;;\item Коммутатор D-Link DES-1016A -- 1~шт. \item Маршрутизатор Sagemcom Fast1744v.4 -- 1~шт. ;ПАО "Ростелеком";РРРоЕ;5.1;-;-;-;1_26109_5b9914b401a8c;3;1_26084_5b9912860344d;1;1_26107_5b99129acd480;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
150;Каменский;МКОУ "Сончинская ООШ" Каменского муниципального района Воронежской области;МКОУ "Сончинская ООШ" Каменского муниципального района Воронежской области;МКОУ "Сончинская ООШ" Каменского муниципального района Воронежской области;МКОУ "Сончинской ООШ" Каменского муниципального района Воронежской области;МКОУ "Сончинской ООШ" Каменского муниципального района Воронежской области;Муниципальное казённое образовательное учреждение Сончинская основная общеообразовательная школа;Муниципальное казённое образовательное учреждение Сончинская основная общеообразовательная школа;Муниципального казённого образовательного учреждения Сончинская основная общеообразовательная школа;Муниципальному казённому образовательному учреждению Сончинская основная общеообразовательная школа;396525, Воронежская область, Каменский район, с. Сончино, ул. Ленина, д. 28;396525, Воронежская область, Каменский район, с. Сончино, ул. Ленина, д. 28;42;28;11;2;Директор;Бакаева И. Г.;1;;;\item Маршрутизатор с Wi-Fi D-Link DSL-2640U -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_29182_5b9a599fe9e03;2;1_28139_5b9a570c74c54;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
156;Каменский;МКОУ Марковская СОШ;МКОУ Марковская СОШ;МКОУ Марковская СОШ;МКОУ Марковской СОШ;МКОУ Марковской СОШ;Муниципальное казённое образовательное учреждение Марковская Средняя общеообразовательная школа;Муниципальное казённое образовательное учреждение Марковская Средняя общеообразовательная школа;Муниципального казённого образовательного учреждения Марковская Средняя общеообразовательная школа;Муниципальному казённому образовательному учреждению Марковская Средняя общеообразовательная школа;396508, Воронежская обл., Каменский район, с. Марки, ул. Школьная, д. 5;396508, Воронежская обл., Каменский район, с. Марки, ул. Школьная, д. 5;91;89;15;2;Директор;Бедная Н. И.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TD854W -- 1~шт. ;ПАО "Ростелеком";DSL модем;0.25;-;-;-;1_20479_5b93bd3ab74b6;1;1_20506_5b93bd59e4991;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
45;Богучарский ;МКОУ Подколодновская СОШ;МКОУ "Подколодновская СОШ";МКОУ "Подколодновская СОШ";МКОУ "Подколодновской СОШ";МКОУ "Подколодновской СОШ";Муниципальное казенное общеобразовательное учреждение "Подколодновская средняя общеобразовательная школа";Муниципальное казенное общеобразовательное учреждение "Подколодновская средняя общеобразовательная школа";Муниципального казённого общеобразовательного учреждения "Подколодновская средняя общеобразовательная школа";Муниципальному казённому общеобразовательному учреждению "Подколодновская средняя общеобразовательная школа";396788, Воронежская обл., Богучарский район, с. Подколодновка, ул. Мира, д. 21А;396788, Воронежская обл., Богучарский район, с. Подколодновка, ул. Мира, д. 21А;171;117;9;1;Директор;Лукина Л. И.;1;;;\item Маршрутизатор с Wi-Fi Huawei EchoLifeHG520 -- 1~шт. ;ПАО "Ростелеком";PPPoE;1;-;-;-;1_83984_5bf2b163aacae;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
403;Семилукский;МКОУ Совхозная СОШ;МКОУ Совхозная СОШ;МКОУ Совхозная СОШ;МКОУ Совхозной СОШ;МКОУ Совхозной СОШ;Муниципальное казенное общеобразовательное учреждение Совхозная средняя общеобразовательная школа  Семилукского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Совхозная средняя общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Совхозная средняя общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Совхозная средняя общеобразовательная школа Семилукского муниципального района Воронежской области;396954, Воронежская обл., Семилукский район, с. Гремячий Колодезь, ул. Школьная, д. 1а;396954, Воронежская обл., Семилукский район, с. Гремячий Колодезь, ул. Школьная, д. 1а;47;43;11;1;Директор;Богомолов А. А.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TD854W -- 1~шт. \item Коммутатор TP-Link TSLF1005D -- 1~шт. ;Ростелеком;DSL модем;10;-;-;-;1_44911_5ba395296d6c2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
32;Бобровский ;МКОУ Шишовская СОШ;МКОУ Шишовская СОШ;МКОУ Шишовская СОШ;МКОУ Шишовской СОШ;МКОУ Шишовской СОШ;Муниципальное бюджетное общеобразовательное учреждение Шишовская средняя общеобразовательная школа;Муниципальное бюджетное общеобразовательное учреждение Шишовская средняя общеобразовательная школа;Муниципального бюджетного общеобразовательного учреждения Шишовская средняя общеобразовательная школа;Муниципальному бюджетному общеобразовательному учреждению Шишовская средняя общеобразовательная школа;397732, Воронежская обл., Бобровский район, с. Шишовка, ул. Гагарина, д. 2;397732, Воронежская обл., Бобровский район, с. Шишовка, ул. Гагарина, д. 2;107;105;13;2;Директор школы;Ковалев А. Н.;1;;;\item Маршрутизатор с Wi-Fi Zyxel Keenetic DSL -- 1~шт. ;ПАО "Ростелеком";DSL модем;5;-;-;-;1_32229_5b9b91c18bfd5;2;1_32174_5b9b913a3bb50;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
224;Нижнедевицкий;МКОУ Хвощеватовская СОШ;МКОУ Хвощеватовская СОШ;МКОУ Хвощеватовская СОШ;МКОУ Хвощеватовской СОШ;МКОУ Хвощеватовской СОШ;Муниципальное казённое общеобразовательное учреждение "Хвощеватовская средняя общеобразовательная школа";Муниципальное казённое общеобразовательное учреждение "Хвощеватовская средняя общеобразовательная школа";Муниципального казённого общеобразовательного учреждения "Хвощеватовская средняя общеобразовательная школа";Муниципальному казённому общеобразовательному учреждению "Хвощеватовская средняя общеобразовательная школа";396884 Воронежская область, Нижнедевицкий район, п.с-за ``Кучугуровский``, ул. Садовая, д.10;396884 Воронежская область Нижнедевицкий район посёлок совхоза  Кучугуровский  ул. Садовая д.10;47;48;10;2;Директор школы;Шабанова Н. Н.;1;;;\item adsl модем Zyxel p660ht3 -- 1~шт. ;ПАО "Ростелеком";DSL модем;0.128;-;-;-;1_40242_5ba22c44bdfbb;1;1_40269_5ba22c6dc9bfc;1;1_40270_5ba22c90dc986;2;1_40296_5ba22cb41a164;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
75;Бутурлиновский;МКОУ Клеповская СОШ;МКОУ Клеповская СОШ;МКОУ Клеповская СОШ;МКОУ Клеповской СОШ;МКОУ Клеповской СОШ;Муниципальное казенное общеобразовательное учреждение Клеповская средняя общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Клеповская средняя общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Клеповская средняя общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Клеповская средняя общеобразовательная школа Бутурлиновского муниципального района Воронежской области;397524, Воронежская обл., Бутурлиновский район, с. Клеповка, ул. Ленинская, д. 100 а;397524, Воронежская обл., Бутурлиновский район, с. Клеповка, ул. Ленинская, д. 100 а;129;136;-;2;Директор ;Илларионова Н. А.;1;;;\item Коммутатор D-Link DES-1210-10/ME/B1A -- 1~шт. \item Маршрутизатор с Wi-Fi ZTE ZXHN H118N -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;20;-;-;-;1_32823_5b9b9e47cd50e;1;1_32881_5b9b9e73a05ef;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
223;Нижнедевицкий;МКОУ Верхнетуровская СОШ;МКОУ Верхнетуровская СОШ;МКОУ Верхнетуровская СОШ;МКОУ Верхнетуровской СОШ;МКОУ Верхнетуровской СОШ;Муниципальное казенное общеобразовательное учреждение "Верхнетуровская средняя общеобразовательная школа";Муниципальное казенное общеобразовательное учреждение "Верхнетуровская средняя общеобразовательная школа";Муниципального казённого общеобразовательного учреждения "Верхнетуровская средняя общеобразовательная школа";Муниципальному казённому общеобразовательному учреждению "Верхнетуровская средняя общеобразовательная школа";396892 с.Верхнее Турово,ул.Школьная,д.1;396892 с.Верхнее Турово,ул.Школьная,д.1;87;87;11;2;Директор школы;Лопатина В. С.;1;;;\item Wi-Fi роутер D-Link DIR-320 -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;5;-;-;-;1_39931_5ba206e9a35be;1;1_39932_5ba20734891d9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
96;Верхнемамонский;КОУ ВО "Верхнемамонский казачий кадетский корпус";КОУ ВО "Верхнемамонский казачий кадетский корпус";КОУ ВО "Верхнемамонский казачий кадетский корпус";;;Казенное общеобразовательное учреждение Воронежской области "Верхнемамонский Матвея Платова казачий кадетский корпус;Казенное общеобразовательное учреждение Воронежской области "Верхнемамонский Матвея Платова казачий кадетский корпус;;;Воронежская область Верхнемамонский район село Гороховка улица Верова дом 18 а;Воронежская область Верхнемамонский район село Гороховка улица Верова дом 18 а;106;113;10;2;Директор;Ковалев В. Н.;1;;;\item Маршрутизатор с Wi-Fi D-Link TL-WR740N -- 1~шт. ;ПАО "Ростелеком";PPPoE;3.5;ПАО "Ростелеком";PPPoE;1.5;1_51305_5baa4fe8790b0;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
26;Бобровский ;МКОУ Липовская СОШ;МКОУ Липовская СОШ;МКОУ Липовская СОШ;МКОУ Липовской СОШ;МКОУ Липовской СОШ;Муниципальное казённое общеобразовательное учреждение Липовская средняя общеобразовательная школа;Муниципальное казённое общеобразовательное учреждение Липовская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Липовская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Липовская средняя общеобразовательная школа;397724, Воронежская обл., Бобровский район, с. Липовка, пл. Победы, д. 2;397724, Воронежская обл., Бобровский район, с. Липовка, пл. Победы, д. 2;30;36;10;2;Директор школы;Баранова И. В.;1;;;\item Маршрутизатор с Wi-Fi ASUS DSL-N12U 11N -- 1~шт. ;ПАО "Ростелеком";DSL модем;0.67;-;-;-;1_23394_5b97bcbfc0452;2;1_23395_5b97bcbfc0996;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
231;Новоусманский;МКОУ Михайловская СОШ;МКОУ Михайловская СОШ;МКОУ Михайловская СОШ;МКОУ Михайловской СОШ;МКОУ Михайловской СОШ;Муниципальное казенное общеобразовательное учреждение Новоусманского муниципального района Воронежской области "Михайловская средняя общеобразовательная школа";Муниципальное казенное общеобразовательное учреждение Новоусманского муниципального района Воронежской области "Михайловская средняя общеобразовательная школа";Муниципального казённого общеобразовательного учреждения Новоусманского муниципального района Воронежской области "Михайловская средняя общеобразовательная школа";Муниципальному казённому общеобразовательному учреждению Новоусманского муниципального района Воронежской области "Михайловская средняя общеобразовательная школа";396322, Воронежская обл., Новоусманский район, д. Михайловка, ул. Комсомольская, д. 11;396322, Воронежская обл., Новоусманский район, д. Михайловка, ул. Комсомольская, д. 11;70;68;12;2;Директор;Сергеева Е. В.;1;;;\item Маршрутизатор ASUS RT-N12C1 -- 1~шт. \item Коммутатор D-Link DES-1016A -- 1~шт. \item ADSL Роутер D-Link DSL-2740U -- 1~шт. ;Ростелеком;PPPoE;5;-;-;-;1_50396_5baa1262d5cdb;1;1_50543_5baa1276e1244;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
666;Коминтерновский;МБОУ СОШ  с УИОП №88;МБОУ СОШ  с УИОП №88;МБОУ СОШ с УИОП №88;МБОУ СОШ с УИОП №88;МБОУ СОШ с УИОП №88;Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа №88;Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа №88;Муниципального бюджетного общеобразовательного учреждения Средняя общеобразовательная школа №88;Муниципальному бюджетному общеобразовательному учреждению Средняя общеобразовательная школа №88;394077 г.Воронеж ул. Маршала Жукова, 6а;394077 г.Воронеж ул. Маршала Жукова, 6а;861;928;-;3;Директор;Петриенко С. Е.;0;AVER;;\item Маршрутизатор без Wi-Fi D-Link DES 1024 -- 1~шт. \item Маршрутизатор без Wi-Fi D-Link DIR-100 -- 1~шт. ;Квант-Телеком;Оптический кабель до здания школы;30;-;-;-;1_43616_5ba38b74c021d;1;1_44615_5ba38bd4a6eba;2;1_44616_5ba38bbface66;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
85;Бутурлиновский;МКОУ Великоархангельская СОШ;МКОУ Великоархангельская СОШ;МКОУ Великоархангельская СОШ;МКОУ Великоархангельской СОШ;МКОУ Великоархангельской СОШ;Муниципальное казенное общеобразовательное учреждение Великоархангельская средняя общеобразовательная школа ;Муниципальное казенное общеобразовательное учреждение Великоархангельская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Великоархангельская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Великоархангельская средняя общеобразовательная школа;397543, Воронежская обл., Бутурлиновский район, с. Великоархангельское, ул. Октябрьская, д. 63;397543, Воронежская обл., Бутурлиновский район, с. Великоархангельское, ул. Октябрьская, д. 63;63;65;-;2;Директор ;Кравцова Е. В.;1;;;\item Коммутатор D-Link DES-1210-10ME -- 1~шт. \item Маршрутизатор с Wi-Fi ZTE ZXHN H118N -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;20;-;-;-;1_33137_5b9ba77ff26d6;1;1_33160_5b9ba7991d17f;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
151;Каменский;МКОУ "Тхоревская ООШ" Каменского муниципального района Воронежской области;МКОУ "Тхоревская ООШ" Каменского муниципального района Воронежской области;МКОУ "Тхоревская ООШ" Каменского муниципального района Воронежской области;МКОУ "Тхоревской ООШ" Каменского муниципального района Воронежской области;МКОУ "Тхоревской ООШ" Каменского муниципального района Воронежской области;Муниципальное казённое образовательное учреждение Тхоревская основная общеообразовательная школа;Муниципальное казённое образовательное учреждение Тхоревская основная общеообразовательная школа;Муниципального казённого образовательного учреждения Тхоревская основная общеообразовательная школа;Муниципальному казённому образовательному учреждению Тхоревская основная общеообразовательная школа;396513, Воронежская область, Каменский район, с. Тхоревка, ул. Центральная, д. 28а;396513, Воронежская область, Каменский район, с. Тхоревка, ул. Центральная, д. 28а;34;30;10;2;Директор;Свистунова Л. И.;1;;;\item Маршрутизатор с Wi-Fi D-Link DSL-2640U -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_23424_5b97bd6ca2000;1;1_23447_5b97bd8a122ec;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
279;Острогожский;МКОУ Коротоякская СОШ;МКОУ Коротоякская СОШ;МКОУ Коротоякская СОШ;МКОУ Коротоякской СОШ;МКОУ Коротоякской СОШ;Муниципальное казённое общеобразовательное учреждение Коротоякская средняя общеобразовательная школа;Муниципальное казённое общеобразовательное учреждение Коротоякская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Коротоякская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Коротоякская средняя общеобразовательная школа;397813, Воронежская обл., Острогожский р-н, с. Коротояк, ул. Ф.Энгельса, 47 ;397813, Воронежская обл., Острогожский р-н, с. Коротояк, ул. Ф.Энгельса, 7 ;53;48;4;2;Директор;Ряузова Г. Г.;1;;;\item Отсутствует Отсутствует Отсутствует -- 1~шт. ;Отсутствует;Отсутствует;0;-;-;-;1_82417_5beee0a6ad79c;1;1_60437_5bdbdca2464c8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
405;Семилукский;МКОУ Нижневедугская СОШ;МКОУ Нижневедугская СОШ;МКОУ Нижневедугская СОШ;МКОУ Нижневедугской СОШ;МКОУ Нижневедугской СОШ; Муниципальное казенное общеобразовательное учреждение Нижневедугская средняя общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Нижневедугская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Нижневедугская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Нижневедугская средняя общеобразовательная школа;396910, Воронежская обл., Семилукский район, с. Нижняя Ведуга, ул. Ленина, д. 68;396910, Воронежская обл., Семилукский район, с. Нижняя Ведуга, ул. Ленина, д. 68;203;170;11;3;Директор;Ююкин Ю. И.;1;;;\item Коммутатор D-Link DES-1005d -- 1~шт. \item Коммутатор D-Link DES-1024A -- 1~шт. \item Маршрутизатор с Wi-Fi Zyxel P-600 -- 1~шт. ;Ростелеком;DSL модем;10;-;-;-;1_44713_5ba38eed974ed;0;1_44740_5ba38f0d53db0;1;1_44741_5ba38f2267279;2;1_44742_5ba38f336be02;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
719;Ленинский;МБОУ СОШ № 44;МБОУ СОШ № 44;МБОУ СОШ № 44;МБОУ СОШ № 44;МБОУ СОШ № 44;Муниципальное  бюджетное  общеобразовательное  учреждение средняя  общеобразовательная  школа № 44;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 44;Муниципального бюджетного общеобразовательного учреждения средняя общеобразовательная школа № 44;Муниципальному бюджетному общеобразовательному учреждению средняя общеобразовательная школа № 44;394052 г.Воронеж, пер. Острогожский д.1а;394052 г.Воронеж, пер. Острогожский д.1а;467;408;15;3;Директор;Исаева О. В.;1;;;\item adsl модем D-Link DSL-2750U -- 1~шт. \item Коммутатор TP-Link TL-SG 1024D -- 1~шт. \item Точка доступа Wi-Fi TP-Link TP Link WR-841N -- 3~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_47276_5ba7bb8c54be7;3;1_47252_5ba7bb6317323;1;1_47275_5ba7bb700d8de;2;1_47277_5ba7bb9ba689e;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
489;Богучарский ;МКОУ Богучарская СОШ №1;МКОУ Богучарская СОШ №1;МКОУ Богучарская СОШ №1;МКОУ Богучарской СОШ №1;МКОУ Богучарской СОШ №1;Муниципальное казенное общеобразовательное учреждение "Богучарская средня общеобразовательная школа № 1";Муниципальное казенное общеобразовательное учреждение "Богучарская средня общеобразовательная школа № 1";Муниципального казённого общеобразовательного учреждения "Богучарская средня общеобразовательная школа № 1";Муниципальному казённому общеобразовательному учреждению "Богучарская средня общеобразовательная школа № 1";396790, Воронежская обл., Богучарский район, г. Богучар, ул. Карла Маркса, д. 3;396790, Воронежская обл., Богучарский район, г. Богучар, ул. Карла Маркса, д.  № 3;829;843;43;3;Директор;Богданова Е. П.;1;;;\item Коммутатор Acorp HU 8D -- 1~шт. \item Коммутатор Acorp hu 5d -- 1~шт. \item Коммутатор Corega FSW-16PM -- 2~шт. \item Коммутатор D-Link DES-1008A -- 1~шт. \item Маршрутизатор с Wi-Fi D-Link DIR-100 -- 1~шт. \item Коммутатор TP-Link TSLF1005D -- 5~шт. \item Коммутатор TP-Link TSLF1008D -- 2~шт. ;ПАО "Ростелеком";PPPoE;8;-;-;-;1_37169_5ba0b8d472198;1;1_37195_5ba0b8fa86752;1;1_37198_5ba0b984bf4a9;3;1_37113_5ba0b836afdd9;0;1_37196_5ba0b92e0a38d;1;1_37197_5ba0b95fcd617;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
544;Лискинский;МКОУ СОШ № 1 г.Лиски;МКОУ СОШ № 1 г.Лиски;МКОУ СОШ № 1 г.Лиски;МКОУ СОШ № 1 г.Лиски;МКОУ СОШ № 1 г.Лиски;Муниципальное казенное общеобразовательное учреждение "Средняя общеобразовательная школа №1 имени Героя Советского Союза М.А.Машина" г.Лиски Воронежской области ;Муниципальное казенное общеобразовательное учреждение "Средняя общеобразовательная школа №1 имени Героя Советского Союза М.А.Машина" г.Лиски Воронежской области;Муниципального казённого общеобразовательного учреждения "Средняя общеобразовательная школа №1 имени Героя Советского Союза М.А.Машина" г.Лиски Воронежской области;Муниципальному казённому общеобразовательному учреждению "Средняя общеобразовательная школа №1 имени Героя Советского Союза М.А.Машина" г.Лиски Воронежской области;397902, Воронежская обл., Лискинский район, г. Лиски, ул. 40 лет Победы, д. 1;397902, Воронежская обл., Лискинский район, г. Лиски, ул. 40 лет Победы, д. 1;1435;1512;63;3;Директор;Блинов В. М.;1;;;\item Коммутатор D-Link  DGS-3120-24TC -- 1~шт. \item Коммутатор D-Link DES-1210-28P -- 1~шт. \item Маршрутизатор с Wi-Fi Zyxel USG-20 -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;40;JOXNET (Цифровая Связь);Оптический кабель;40;1_31995_5b9b8d3d7ac24;1;1_31997_5b9b8d6fb1ef1;3;1_38791_5ba0f174f0d21;2;1_31966_5b9b8c46c0ce2;1;1_31996_5b9b8d58ae899;2;1_38789_5ba0f154f0501;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
